,datetime,latitude,longitude,temperature
202846,2021-01-01 04:59:00,38.935,-77.447,
1202606,2021-01-01 04:59:00,38.504,-77.305,
737826,2021-01-01 04:59:00,38.847,-77.035,
1224106,2021-01-01 04:59:00,38.847,-77.035,
1353963,2021-01-01 05:00:00,38.87,-77.02,5.2
98990,2021-01-01 05:15:00,38.527,-77.859,5.0
715116,2021-01-01 05:15:00,38.267,-77.449,5.7
103823,2021-01-01 05:15:00,38.398,-77.456,5.5
1350664,2021-01-01 05:15:00,38.01,-77.97,4.2
1126652,2021-01-01 05:15:00,38.586,-77.711,5.0
127513,2021-01-01 05:35:00,38.01,-77.97,4.2
1125827,2021-01-01 05:35:00,38.586,-77.711,5.0
98527,2021-01-01 05:35:00,38.527,-77.859,5.0
119626,2021-01-01 05:35:00,38.267,-77.449,5.6
523391,2021-01-01 05:35:00,38.398,-77.456,5.5
1178701,2021-01-01 05:52:00,38.935,-77.447,3.3
1226396,2021-01-01 05:52:00,38.847,-77.035,5.0
1128812,2021-01-01 05:55:00,38.586,-77.711,5.0
125336,2021-01-01 05:55:00,38.01,-77.97,4.2
116688,2021-01-01 05:55:00,38.267,-77.449,5.5
1123099,2021-01-01 05:55:00,38.398,-77.456,5.3
838963,2021-01-01 05:55:00,38.527,-77.859,5.0
275934,2021-01-01 05:56:00,38.721,-77.515,4.4
208744,2021-01-01 05:56:00,38.717,-77.183,5.0
225135,2021-01-01 05:56:00,38.504,-77.305,6.1
204215,2021-01-01 06:00:00,38.95,-77.45,3.3
769762,2021-01-01 06:00:00,38.85,-77.033,5.0
1073109,2021-01-01 06:00:00,38.87,-77.02,4.7
1118726,2021-01-01 06:15:00,38.398,-77.456,5.3
121146,2021-01-01 06:15:00,38.267,-77.449,5.3
520277,2021-01-01 06:15:00,38.01,-77.97,4.0
112235,2021-01-01 06:15:00,38.586,-77.711,5.0
1146303,2021-01-01 06:15:00,38.527,-77.859,4.8
1352579,2021-01-01 06:35:00,38.01,-77.97,4.1
1044639,2021-01-01 06:35:00,38.398,-77.456,5.2
117281,2021-01-01 06:35:00,38.267,-77.449,5.3
1354822,2021-01-01 06:35:00,38.527,-77.859,4.7
1050690,2021-01-01 06:35:00,38.586,-77.711,4.7
1180753,2021-01-01 06:52:00,38.935,-77.447,2.8
482369,2021-01-01 06:52:00,38.847,-77.035,3.9
106691,2021-01-01 06:55:00,38.398,-77.456,5.1
659509,2021-01-01 06:55:00,38.527,-77.859,4.6
119971,2021-01-01 06:55:00,38.267,-77.449,5.3
113633,2021-01-01 06:55:00,38.586,-77.711,4.6
124920,2021-01-01 06:55:00,38.01,-77.97,4.0
796992,2021-01-01 06:56:00,38.717,-77.183,4.8
225025,2021-01-01 06:56:00,38.504,-77.305,5.6
1180980,2021-01-01 06:56:00,38.721,-77.515,3.9
1074526,2021-01-01 07:00:00,38.87,-77.02,3.9
1345197,2021-01-01 07:15:00,38.267,-77.449,5.2
720151,2021-01-01 07:15:00,38.01,-77.97,3.9
104367,2021-01-01 07:15:00,38.398,-77.456,5.1
734228,2021-01-01 07:15:00,38.527,-77.859,4.5
1048282,2021-01-01 07:15:00,38.586,-77.711,4.5
110653,2021-01-01 07:35:00,38.586,-77.711,4.5
737234,2021-01-01 07:35:00,38.527,-77.859,4.5
126092,2021-01-01 07:35:00,38.01,-77.97,3.9
120918,2021-01-01 07:35:00,38.267,-77.449,5.2
522814,2021-01-01 07:35:00,38.398,-77.456,5.1
767347,2021-01-01 07:52:00,38.847,-77.035,3.9
1323265,2021-01-01 07:52:00,38.935,-77.447,2.8
735075,2021-01-01 07:55:00,38.527,-77.859,4.3
528518,2021-01-01 07:55:00,38.586,-77.711,4.3
104326,2021-01-01 07:55:00,38.398,-77.456,5.0
520703,2021-01-01 07:55:00,38.01,-77.97,3.9
516011,2021-01-01 07:55:00,38.267,-77.449,5.1
474517,2021-01-01 07:56:00,38.721,-77.515,3.9
1103703,2021-01-01 07:56:00,38.504,-77.305,5.6
205910,2021-01-01 07:56:00,38.717,-77.183,4.1
1073098,2021-01-01 08:00:00,38.87,-77.02,3.6
105993,2021-01-01 08:15:00,38.398,-77.456,5.0
121145,2021-01-01 08:15:00,38.267,-77.449,5.0
1124890,2021-01-01 08:15:00,38.586,-77.711,4.2
101142,2021-01-01 08:15:00,38.527,-77.859,4.2
122462,2021-01-01 08:15:00,38.01,-77.97,3.9
1120736,2021-01-01 08:35:00,38.398,-77.456,4.8
115786,2021-01-01 08:35:00,38.267,-77.449,5.0
1122952,2021-01-01 08:35:00,38.586,-77.711,4.1
965401,2021-01-01 08:35:00,38.01,-77.97,3.8
837710,2021-01-01 08:35:00,38.527,-77.859,4.1
1042291,2021-01-01 08:52:00,38.935,-77.447,2.2
1227335,2021-01-01 08:52:00,38.847,-77.035,3.3
957014,2021-01-01 08:55:00,38.267,-77.449,4.8
735370,2021-01-01 08:55:00,38.527,-77.859,4.0
123644,2021-01-01 08:55:00,38.01,-77.97,3.8
1049303,2021-01-01 08:55:00,38.586,-77.711,4.0
1124650,2021-01-01 08:55:00,38.398,-77.456,4.6
513696,2021-01-01 08:56:00,38.717,-77.183,3.6
1114143,2021-01-01 08:56:00,38.721,-77.515,3.3
1204516,2021-01-01 08:56:00,38.504,-77.305,5.0
879477,2021-01-01 09:00:00,38.85,-77.033,3.3
1354145,2021-01-01 09:00:00,38.87,-77.02,3.2
103479,2021-01-01 09:15:00,38.398,-77.456,4.5
98214,2021-01-01 09:15:00,38.527,-77.859,4.0
117329,2021-01-01 09:15:00,38.267,-77.449,4.6
124015,2021-01-01 09:15:00,38.01,-77.97,3.7
1131641,2021-01-01 09:15:00,38.586,-77.711,4.0
1349140,2021-01-01 09:35:00,38.01,-77.97,3.7
524584,2021-01-01 09:35:00,38.398,-77.456,4.3
1128706,2021-01-01 09:35:00,38.586,-77.711,3.8
103120,2021-01-01 09:35:00,38.527,-77.859,4.0
115679,2021-01-01 09:35:00,38.267,-77.449,4.5
770811,2021-01-01 09:52:00,38.847,-77.035,3.3
1043207,2021-01-01 09:52:00,38.935,-77.447,2.2
720619,2021-01-01 09:55:00,38.01,-77.97,3.6
1050736,2021-01-01 09:55:00,38.586,-77.711,3.8
1043331,2021-01-01 09:55:00,38.398,-77.456,4.1
624165,2021-01-01 09:55:00,38.527,-77.859,3.8
745897,2021-01-01 09:55:00,38.267,-77.449,4.5
206266,2021-01-01 09:56:00,38.717,-77.183,3.5
1205333,2021-01-01 09:56:00,38.504,-77.305,4.4
277171,2021-01-01 09:56:00,38.721,-77.515,3.3
1073686,2021-01-01 10:00:00,38.87,-77.02,3.0
1129829,2021-01-01 10:15:00,38.586,-77.711,3.7
107983,2021-01-01 10:15:00,38.398,-77.456,4.1
660868,2021-01-01 10:15:00,38.527,-77.859,3.7
748563,2021-01-01 10:15:00,38.01,-77.97,3.4
120189,2021-01-01 10:15:00,38.267,-77.449,4.3
662338,2021-01-01 10:35:00,38.527,-77.859,3.6
1128529,2021-01-01 10:35:00,38.586,-77.711,3.6
750892,2021-01-01 10:35:00,38.01,-77.97,3.2
1345710,2021-01-01 10:35:00,38.267,-77.449,4.2
1118342,2021-01-01 10:35:00,38.398,-77.456,4.0
177315,2021-01-01 10:52:00,38.847,-77.035,2.8
1322353,2021-01-01 10:52:00,38.935,-77.447,1.7
1126099,2021-01-01 10:55:00,38.586,-77.711,3.6
1350338,2021-01-01 10:55:00,38.01,-77.97,3.1
1145900,2021-01-01 10:55:00,38.527,-77.859,3.5
